__time,/Sagan/SaganStates/steering_state[0]/angular_position,/Sagan/SaganStates/steering_state[1]/angular_position,/Sagan/SaganStates/steering_state[2]/angular_position,/Sagan/SaganStates/steering_state[3]/angular_position,/Sagan/SaganStates/wheel_state[0]/angular_velocity,/Sagan/SaganStates/wheel_state[1]/angular_velocity,/Sagan/SaganStates/wheel_state[2]/angular_velocity,/Sagan/SaganStates/wheel_state[3]/angular_velocity,/joint_states/LF_stering_arm_joint/effort,/joint_states/LF_stering_arm_joint/position,/joint_states/LF_stering_arm_joint/velocity,/joint_states/LF_wheel_joint/effort,/joint_states/LF_wheel_joint/position,/joint_states/LF_wheel_joint/velocity,/joint_states/LR_stering_arm_joint/effort,/joint_states/LR_stering_arm_joint/position,/joint_states/LR_stering_arm_joint/velocity,/joint_states/LR_wheel_joint/effort,/joint_states/LR_wheel_joint/position,/joint_states/LR_wheel_joint/velocity,/joint_states/Left_arm_joint/effort,/joint_states/Left_arm_joint/position,/joint_states/Left_arm_joint/velocity,/joint_states/RF_stering_arm_joint/effort,/joint_states/RF_stering_arm_joint/position,/joint_states/RF_stering_arm_joint/velocity,/joint_states/RF_wheel_joint/effort,/joint_states/RF_wheel_joint/position,/joint_states/RF_wheel_joint/velocity,/joint_states/RR_stering_arm_joint/effort,/joint_states/RR_stering_arm_joint/position,/joint_states/RR_stering_arm_joint/velocity,/joint_states/RR_wheel_joint/effort,/joint_states/RR_wheel_joint/position,/joint_states/RR_wheel_joint/velocity,/joint_states/Right_arm_joint/effort,/joint_states/Right_arm_joint/position,/joint_states/Right_arm_joint/velocity,/joint_states/base_footprint_joint/effort,/joint_states/base_footprint_joint/position,/joint_states/base_footprint_joint/velocity,/joint_states/header/stamp
1743632678.068286,,,,,,,,,-0.000000000,0.002908913,0.000420760,0.000389143,-0.000000331,0.000000000,-0.000000000,-0.002770309,-0.000400712,0.000216570,-0.000000184,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000739187,0.000107020,-0.000101992,0.000000087,0.000000000,-0.000000000,0.006399145,0.000924719,-0.000219972,0.000000187,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,13.880000000
1743632678.078077,0.000421065,0.000107097,-0.000401002,0.000925385,-0.000000000,0.000000000,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1743632678.078244,,,,,,,,,-0.000000000,0.002913123,0.000421065,0.000389143,-0.000000331,-0.000000000,-0.000000000,-0.002774318,-0.000401002,0.000216570,-0.000000184,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000740258,0.000107097,-0.000101992,0.000000087,0.000000000,0.000000000,0.006408396,0.000925385,-0.000219972,0.000000187,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,13.890000000
1743632678.088369,0.000421370,0.000107175,-0.000401292,0.000926052,-0.000000000,0.000000000,0.000000000,-0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1743632678.088541,,,,,,,,,0.000000000,0.002917335,0.000421370,0.000389143,-0.000000331,-0.000000000,-0.000000000,-0.002778330,-0.000401292,0.000216570,-0.000000184,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000741329,0.000107175,-0.000101992,0.000000087,0.000000000,0.000000000,0.006417653,0.000926052,-0.000219972,0.000000187,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,13.900000000
1743632678.098837,0.000421674,0.000107253,-0.000401582,0.000926719,0.000000000,0.000000000,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1743632678.099148,,,,,,,,,-0.000000000,0.002921550,0.000421674,0.000389143,-0.000000331,0.000000000,-0.000000000,-0.002782344,-0.000401582,0.000216570,-0.000000184,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000742402,0.000107253,-0.000101992,0.000000087,0.000000000,0.000000000,0.006426917,0.000926719,-0.000219972,0.000000187,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,13.910000000
1743632678.108901,0.000421979,0.000107331,-0.000401872,0.000927386,0.000000000,0.000000000,-0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1743632678.109082,,,,,,,,,0.000000000,0.002925769,0.000421979,0.000389143,-0.000000331,0.000000000,-0.000000000,-0.002786362,-0.000401872,0.000216570,-0.000000184,-0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000743474,0.000107331,-0.000101992,0.000000087,0.000000000,-0.000000000,0.006436188,0.000927386,-0.000219972,0.000000187,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,13.920000000
1743632678.120111,0.000422283,0.000107408,-0.000402162,0.000928053,0.000000000,0.000000000,-0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1743632678.120256,,,,,,,,,-0.000000000,0.002929990,0.000422283,0.000389143,-0.000000331,0.000000000,-0.000000000,-0.002790382,-0.000402162,0.000216570,-0.000000184,-0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000744548,0.000107408,-0.000101992,0.000000087,0.000000000,-0.000000000,0.006445466,0.000928053,-0.000219972,0.000000187,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,13.930000000
1743632678.130858,0.000422588,0.000107486,-0.000402452,0.000928720,0.000000000,0.000000000,-0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1743632678.131041,,,,,,,,,-0.000000000,0.002934215,0.000422588,0.000389143,-0.000000331,0.000000000,-0.000000000,-0.002794405,-0.000402452,0.000216570,-0.000000184,-0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000745623,0.000107486,-0.000101992,0.000000087,0.000000000,-0.000000000,0.006454750,0.000928720,-0.000219972,0.000000187,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,13.940000000
1743632678.140758,0.000422893,0.000107564,-0.000402743,0.000929386,0.000000000,0.000000000,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1743632678.140902,,,,,,,,,-0.000000000,0.002938442,0.000422893,0.000389143,-0.000000331,0.000000000,-0.000000000,-0.002798431,-0.000402743,0.000216570,-0.000000184,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000746698,0.000107564,-0.000101992,0.000000087,0.000000000,-0.000000000,0.006464041,0.000929386,-0.000219972,0.000000187,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,13.950000000
1743632678.151217,0.000423197,0.000107642,-0.000403033,0.000930053,0.000000000,0.000000000,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1743632678.151363,,,,,,,,,-0.000000000,0.002942673,0.000423197,0.000389143,-0.000000331,0.000000000,-0.000000000,-0.002802460,-0.000403033,0.000216570,-0.000000184,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000747774,0.000107642,-0.000101992,0.000000087,0.000000000,-0.000000000,0.006473338,0.000930053,-0.000219972,0.000000187,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,13.960000000
1743632678.161220,0.000423502,0.000107719,-0.000403323,0.000930720,0.000000000,0.000000000,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1743632678.161380,,,,,,,,,-0.000000000,0.002946906,0.000423502,0.000389143,-0.000000331,0.000000000,-0.000000000,-0.002806492,-0.000403323,0.000216570,-0.000000184,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000748851,0.000107719,-0.000101992,0.000000087,0.000000000,-0.000000000,0.006482643,0.000930720,-0.000219972,0.000000187,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,13.970000000
1743632678.171508,0.000423806,0.000107797,-0.000403613,0.000931387,0.000000000,0.000000000,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1743632678.171675,,,,,,,,,-0.000000000,0.002951143,0.000423806,0.000389143,-0.000000331,0.000000000,-0.000000000,-0.002810527,-0.000403613,0.000216570,-0.000000184,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000749929,0.000107797,-0.000101992,0.000000087,0.000000000,-0.000000000,0.006491953,0.000931387,-0.000219972,0.000000187,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,13.980000000
1743632678.182031,0.000424111,0.000107875,-0.000403903,0.000932054,0.000000000,0.000000000,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1743632678.182181,,,,,,,,,-0.000000000,0.002955383,0.000424111,0.000389143,-0.000000331,0.000000000,-0.000000000,-0.002814565,-0.000403903,0.000216570,-0.000000184,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000751007,0.000107875,-0.000101992,0.000000087,0.000000000,0.000000000,0.006501271,0.000932054,-0.000219972,0.000000187,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,13.990000000
1743632678.191986,0.000424416,0.000107953,-0.000404193,0.000932720,0.000000000,0.000000000,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1743632678.192099,,,,,,,,,-0.000000000,0.002959626,0.000424416,0.000389143,-0.000000331,0.000000000,-0.000000000,-0.002818605,-0.000404193,0.000216570,-0.000000184,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000752086,0.000107953,-0.000101992,0.000000087,0.000000000,0.000000000,0.006510595,0.000932721,-0.000219972,0.000000187,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,14.000000000
1743632678.202995,0.000424720,0.000108030,-0.000404483,0.000933387,0.000000000,0.000000000,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1743632678.203167,,,,,,,,,-0.000000000,0.002963871,0.000424720,0.000389143,-0.000000331,0.000000000,-0.000000000,-0.002822649,-0.000404483,0.000216570,-0.000000184,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000753166,0.000108030,-0.000101992,0.000000087,0.000000000,0.000000000,0.006519926,0.000933387,-0.000219972,0.000000187,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,14.009000000
1743632678.212925,0.000425025,0.000108108,-0.000404773,0.000934054,0.000000000,0.000000000,0.000000000,-0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1743632678.213085,,,,,,,,,-0.000000000,0.002968120,0.000425025,0.000389143,-0.000000331,0.000000000,-0.000000000,-0.002826695,-0.000404773,0.000216570,-0.000000184,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000754247,0.000108108,-0.000101992,0.000000087,0.000000000,-0.000000000,0.006529264,0.000934054,-0.000219972,0.000000187,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,14.020000000
1743632678.223485,0.000425329,0.000108186,-0.000405063,0.000934721,0.000000000,0.000000000,0.000000000,-0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1743632678.223615,,,,,,,,,-0.000000000,0.002972372,0.000425329,0.000389143,-0.000000331,0.000000000,-0.000000000,-0.002830745,-0.000405063,0.000216570,-0.000000184,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000755328,0.000108186,-0.000101992,0.000000087,0.000000000,-0.000000000,0.006538608,0.000934721,-0.000219972,0.000000187,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,14.030000000
1743632678.233905,0.000425634,0.000108264,-0.000405353,0.000935388,0.000000000,0.000000000,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1743632678.234064,,,,,,,,,-0.000000000,0.002976627,0.000425634,0.000389143,-0.000000331,0.000000000,-0.000000000,-0.002834797,-0.000405353,0.000216570,-0.000000184,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000756411,0.000108264,-0.000101992,0.000000087,0.000000000,-0.000000000,0.006547959,0.000935388,-0.000219972,0.000000187,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,14.040000000
1743632678.244013,0.000425939,0.000108342,-0.000405643,0.000936054,0.000000000,0.000000000,-0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1743632678.244185,,,,,,,,,-0.000000000,0.002980885,0.000425939,0.000389143,-0.000000331,0.000000000,-0.000000000,-0.002838852,-0.000405643,0.000216570,-0.000000184,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000757494,0.000108342,-0.000101992,0.000000087,0.000000000,0.000000000,0.006557316,0.000936054,-0.000219972,0.000000187,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,14.050000000
1743632678.254453,0.000426243,0.000108419,-0.000405934,0.000936721,0.000000000,0.000000000,-0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
